"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Demonstrates logging with variables and expressions","11","Logging Example - Variable Logging","Tests","Fri Dec 19 12:49:08 UTC 2025","passed","Fri Dec 19 12:49:08 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in error scenarios","26","Logging Example - Error Handling","Tests","Fri Dec 19 12:49:08 UTC 2025","passed","Fri Dec 19 12:49:08 UTC 2025","Logging Example","ProjectA","",""
"","1407","Default","Tests","Fri Dec 19 12:49:04 UTC 2025","passed","Fri Dec 19 12:49:06 UTC 2025","Data Driven Example","Data Driven","",""
"","216","High Example (Project A)","Tests","Fri Dec 19 12:49:11 UTC 2025","passed","Fri Dec 19 12:49:11 UTC 2025","highExample","ProjectA","",""
"","5576","HUK Autowelt Demo Flow","Tests","Fri Dec 19 12:49:13 UTC 2025","passed","Fri Dec 19 12:49:18 UTC 2025","Autowelt","ProjectHUK","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","6","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Fri Dec 19 12:49:09 UTC 2025","skipped","Fri Dec 19 12:49:09 UTC 2025","PlaywrightExample","ProjectA","",""
"","308","Wrapper Click Demo (Project A)","Tests","Fri Dec 19 12:49:05 UTC 2025","passed","Fri Dec 19 12:49:05 UTC 2025","Example","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords.
Die Keywords kommen direct von Browser Library. No wrapping Action-Keywords.","6857","HUK Autowelt LowKeys Demo","Tests","Fri Dec 19 12:49:19 UTC 2025","passed","Fri Dec 19 12:49:26 UTC 2025","HUK noRouting","ProjectHUK","",""
"Demonstrates logging throughout a browser test","480","Logging Example - Browser Test With Logging","Tests","Fri Dec 19 12:49:08 UTC 2025","passed","Fri Dec 19 12:49:08 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Fri Dec 19 12:49:07 UTC 2025","passed","Fri Dec 19 12:49:07 UTC 2025","Logging Example","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","8288","HUK Autowelt LowKeys Demo","Tests","Fri Dec 19 12:49:10 UTC 2025","passed","Fri Dec 19 12:49:19 UTC 2025","AutoWelt LowKeys","ProjectHUK","",""
"","328","Localized","Tests","Fri Dec 19 12:49:06 UTC 2025","passed","Fri Dec 19 12:49:06 UTC 2025","Data Driven Example","Data Driven","",""
"","397","Uppercase","Tests","Fri Dec 19 12:49:06 UTC 2025","passed","Fri Dec 19 12:49:06 UTC 2025","Data Driven Example","Data Driven","",""
"Demonstrates logging in loops with data processing","53","Logging Example - Data Processing Loop","Tests","Fri Dec 19 12:49:08 UTC 2025","passed","Fri Dec 19 12:49:08 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","202","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Fri Dec 19 12:49:09 UTC 2025","passed","Fri Dec 19 12:49:09 UTC 2025","PlaywrightExample","ProjectA","",""
