"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1508","User Can Submit Vehicle Data Successfully","Tests","Tue Dec 02 13:55:20 UTC 2025","passed","Tue Dec 02 13:55:22 UTC 2025","Test","ProjectHUK","",""
"","1558","Example Domain Title Data Driven [Default]","","Tue Dec 02 13:55:06 UTC 2025","passed","Tue Dec 02 13:55:08 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging throughout a browser test","547","Logging Example - Browser Test With Logging","Tests","Tue Dec 02 13:55:11 UTC 2025","passed","Tue Dec 02 13:55:12 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","87","Logging Example - Data Processing Loop","Tests","Tue Dec 02 13:55:12 UTC 2025","passed","Tue Dec 02 13:55:12 UTC 2025","Logging Example","ProjectA","",""
"","5","Check Detection Only","","Tue Dec 02 13:55:06 UTC 2025","failed","Tue Dec 02 13:55:06 UTC 2025","Home","Tests","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Tue Dec 02 13:55:10 UTC 2025","passed","Tue Dec 02 13:55:10 UTC 2025","Logging Example","ProjectA","",""
"","499","Example Domain Title Data Driven [Localized]","","Tue Dec 02 13:55:08 UTC 2025","passed","Tue Dec 02 13:55:08 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging with variables and expressions","18","Logging Example - Variable Logging","Tests","Tue Dec 02 13:55:12 UTC 2025","passed","Tue Dec 02 13:55:12 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","271","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Tue Dec 02 13:55:12 UTC 2025","passed","Tue Dec 02 13:55:12 UTC 2025","PlaywrightExample","ProjectA","",""
"","493","Example Domain Title Data Driven [Caps]","","Tue Dec 02 13:55:08 UTC 2025","passed","Tue Dec 02 13:55:09 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging in error scenarios","23","Logging Example - Error Handling","Tests","Tue Dec 02 13:55:12 UTC 2025","passed","Tue Dec 02 13:55:12 UTC 2025","Logging Example","ProjectA","",""
"","3148","Open Page in new Tab","Tests","Tue Dec 02 13:55:15 UTC 2025","failed","Tue Dec 02 13:55:19 UTC 2025","Home","ProjectHUK","",""
"","150","Wrapper Click Demo (Project A)","Tests","Tue Dec 02 13:55:09 UTC 2025","failed","Tue Dec 02 13:55:09 UTC 2025","Example","ProjectA","",""
"","1205","High Example (Project A)","Tests","Tue Dec 02 13:55:13 UTC 2025","passed","Tue Dec 02 13:55:14 UTC 2025","highExample","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","4","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Tue Dec 02 13:55:12 UTC 2025","skipped","Tue Dec 02 13:55:12 UTC 2025","PlaywrightExample","ProjectA","",""
"","12414","User","Tests","Tue Dec 02 13:55:15 UTC 2025","failed","Tue Dec 02 13:55:27 UTC 2025","Autowelt","ProjectHUK","",""
