"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9400","HUK Autowelt Demo Flow","Tests","Mon Dec 08 15:37:35 UTC 2025","passed","Mon Dec 08 15:37:45 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates all available log levels","63","Logging Example - All Log Levels","Tests","Mon Dec 08 15:37:29 UTC 2025","passed","Mon Dec 08 15:37:29 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in error scenarios","18","Logging Example - Error Handling","Tests","Mon Dec 08 15:37:31 UTC 2025","passed","Mon Dec 08 15:37:31 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","13","Logging Example - Variable Logging","Tests","Mon Dec 08 15:37:31 UTC 2025","passed","Mon Dec 08 15:37:31 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","28","Logging Example - Data Processing Loop","Tests","Mon Dec 08 15:37:31 UTC 2025","passed","Mon Dec 08 15:37:31 UTC 2025","Logging Example","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","7","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Mon Dec 08 15:37:31 UTC 2025","skipped","Mon Dec 08 15:37:31 UTC 2025","PlaywrightExample","ProjectA","",""
"","358","Example Domain Title Data Driven [Localized]","Tests","Mon Dec 08 15:37:28 UTC 2025","passed","Mon Dec 08 15:37:28 UTC 2025","Data Driven Example","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","10302","HUK Autowelt LowKeys Demo","Tests","Mon Dec 08 15:37:33 UTC 2025","passed","Mon Dec 08 15:37:43 UTC 2025","AutoWelt LowKeys","ProjectHUK","",""
"","235","High Example (Project A)","Tests","Mon Dec 08 15:37:33 UTC 2025","passed","Mon Dec 08 15:37:33 UTC 2025","highExample","ProjectA","",""
"","388","Example Domain Title Data Driven [Caps]","Tests","Mon Dec 08 15:37:28 UTC 2025","passed","Mon Dec 08 15:37:29 UTC 2025","Data Driven Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","205","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Mon Dec 08 15:37:31 UTC 2025","passed","Mon Dec 08 15:37:31 UTC 2025","PlaywrightExample","ProjectA","",""
"","1636","Example Domain Title Data Driven [Default]","Tests","Mon Dec 08 15:37:26 UTC 2025","passed","Mon Dec 08 15:37:28 UTC 2025","Data Driven Example","ProjectA","",""
"","282","Wrapper Click Demo (Project A)","Tests","Mon Dec 08 15:37:27 UTC 2025","passed","Mon Dec 08 15:37:28 UTC 2025","Example","ProjectA","",""
"Demonstrates logging throughout a browser test","624","Logging Example - Browser Test With Logging","Tests","Mon Dec 08 15:37:30 UTC 2025","passed","Mon Dec 08 15:37:31 UTC 2025","Logging Example","ProjectA","",""
