"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23886","HUK Autowelt Demo Flow","Tests","Mon Feb 16 12:07:47 UTC 2026","failed","Mon Feb 16 12:08:11 UTC 2026","Autowelt","ProjectHUK","",""
"Demonstrates logging with variables and expressions","16","Logging Example - Variable Logging","Tests","Mon Feb 16 12:07:42 UTC 2026","passed","Mon Feb 16 12:07:42 UTC 2026","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","621","Logging Example - Browser Test With Logging","Tests","Mon Feb 16 12:07:41 UTC 2026","passed","Mon Feb 16 12:07:42 UTC 2026","Logging Example","ProjectA","",""
"","317","Wrapper Click Demo (Project A)","Tests","Mon Feb 16 12:07:39 UTC 2026","passed","Mon Feb 16 12:07:39 UTC 2026","Example","ProjectA","",""
"Demonstrates logging in error scenarios","27","Logging Example - Error Handling","Tests","Mon Feb 16 12:07:42 UTC 2026","passed","Mon Feb 16 12:07:42 UTC 2026","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","50","Logging Example - Data Processing Loop","Tests","Mon Feb 16 12:07:42 UTC 2026","passed","Mon Feb 16 12:07:42 UTC 2026","Logging Example","ProjectA","",""
"Demonstrates all available log levels","59","Logging Example - All Log Levels","Tests","Mon Feb 16 12:07:41 UTC 2026","passed","Mon Feb 16 12:07:41 UTC 2026","Logging Example","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords.
Die Keywords kommen direct von Browser Library. No wrapping Action-Keywords.","14146","HUK Autowelt LowKeys Demo","Tests","Mon Feb 16 12:08:01 UTC 2026","failed","Mon Feb 16 12:08:15 UTC 2026","HUK noRouting","ProjectHUK","",""
"","1779","Default","Tests","Mon Feb 16 12:07:38 UTC 2026","passed","Mon Feb 16 12:07:40 UTC 2026","Data Driven Example","Data Driven","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","7","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Mon Feb 16 12:07:43 UTC 2026","skipped","Mon Feb 16 12:07:43 UTC 2026","PlaywrightExample","ProjectA","",""
"","202","High Example (Project A)","Tests","Mon Feb 16 12:07:45 UTC 2026","passed","Mon Feb 16 12:07:45 UTC 2026","highExample","ProjectA","",""
"","534","Localized","Tests","Mon Feb 16 12:07:40 UTC 2026","passed","Mon Feb 16 12:07:40 UTC 2026","Data Driven Example","Data Driven","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","14539","HUK Autowelt LowKeys Demo","Tests","Mon Feb 16 12:07:45 UTC 2026","failed","Mon Feb 16 12:07:59 UTC 2026","AutoWelt LowKeys","ProjectHUK","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","282","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Mon Feb 16 12:07:43 UTC 2026","passed","Mon Feb 16 12:07:43 UTC 2026","PlaywrightExample","ProjectA","",""
"","600","Uppercase","Tests","Mon Feb 16 12:07:40 UTC 2026","passed","Mon Feb 16 12:07:41 UTC 2026","Data Driven Example","Data Driven","",""
