"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Demonstrates logging in loops with data processing","42","Logging Example - Data Processing Loop","Tests","Tue Nov 18 10:40:06 UTC 2025","passed","Tue Nov 18 10:40:06 UTC 2025","Logging Example","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","10","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Tue Nov 18 10:40:06 UTC 2025","skipped","Tue Nov 18 10:40:06 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates logging in error scenarios","1041","Logging Example - Error Handling","Tests","Tue Nov 18 10:40:05 UTC 2025","passed","Tue Nov 18 10:40:06 UTC 2025","Logging Example","ProjectA","",""
"","1242","High Example (Project A)","Tests","Tue Nov 18 10:40:07 UTC 2025","passed","Tue Nov 18 10:40:08 UTC 2025","highExample","ProjectA","",""
"","1439","Example Domain Title Data Driven [Default]","","Tue Nov 18 10:40:01 UTC 2025","passed","Tue Nov 18 10:40:02 UTC 2025","Data Driven Example","Tests","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","212","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Tue Nov 18 10:40:05 UTC 2025","passed","Tue Nov 18 10:40:06 UTC 2025","PlaywrightExample","ProjectA","",""
"","7492","User can submit vehicle data successfully","Tests","Tue Nov 18 10:40:11 UTC 2025","passed","Tue Nov 18 10:40:18 UTC 2025","Autowelt","ProjectHUK","",""
"","414","Wrapper Click Demo (Project A)","Tests","Tue Nov 18 10:40:02 UTC 2025","passed","Tue Nov 18 10:40:02 UTC 2025","Example","ProjectA","",""
"","12258","Open Page in new Tab","Tests","Tue Nov 18 10:40:09 UTC 2025","passed","Tue Nov 18 10:40:21 UTC 2025","Home","ProjectHUK","",""
"","533","Example Domain Title Data Driven [Caps]","","Tue Nov 18 10:40:03 UTC 2025","passed","Tue Nov 18 10:40:03 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging with variables and expressions","15","Logging Example - Variable Logging","Tests","Tue Nov 18 10:40:06 UTC 2025","passed","Tue Nov 18 10:40:06 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates all available log levels","37","Logging Example - All Log Levels","Tests","Tue Nov 18 10:40:04 UTC 2025","passed","Tue Nov 18 10:40:04 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","579","Logging Example - Browser Test With Logging","Tests","Tue Nov 18 10:40:04 UTC 2025","passed","Tue Nov 18 10:40:05 UTC 2025","Logging Example","ProjectA","",""
"","513","Example Domain Title Data Driven [Localized]","","Tue Nov 18 10:40:02 UTC 2025","passed","Tue Nov 18 10:40:03 UTC 2025","Data Driven Example","Tests","",""
