"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12516","Open Page in new Tab","Tests","Tue Nov 18 10:32:58 UTC 2025","passed","Tue Nov 18 10:33:10 UTC 2025","Home","ProjectHUK","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","197","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Tue Nov 18 10:32:54 UTC 2025","passed","Tue Nov 18 10:32:54 UTC 2025","PlaywrightExample","ProjectA","",""
"","595","Example Domain Title Data Driven [Localized]","","Tue Nov 18 10:32:50 UTC 2025","passed","Tue Nov 18 10:32:51 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging throughout a browser test","648","Logging Example - Browser Test With Logging","Tests","Tue Nov 18 10:32:52 UTC 2025","passed","Tue Nov 18 10:32:53 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","10","Logging Example - Variable Logging","Tests","Tue Nov 18 10:32:54 UTC 2025","passed","Tue Nov 18 10:32:54 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in error scenarios","1032","Logging Example - Error Handling","Tests","Tue Nov 18 10:32:53 UTC 2025","passed","Tue Nov 18 10:32:54 UTC 2025","Logging Example","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","11","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Tue Nov 18 10:32:54 UTC 2025","skipped","Tue Nov 18 10:32:54 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates logging in loops with data processing","28","Logging Example - Data Processing Loop","Tests","Tue Nov 18 10:32:54 UTC 2025","passed","Tue Nov 18 10:32:54 UTC 2025","Logging Example","ProjectA","",""
"","385","Wrapper Click Demo (Project A)","Tests","Tue Nov 18 10:32:50 UTC 2025","passed","Tue Nov 18 10:32:50 UTC 2025","Example","ProjectA","",""
"","1656","Example Domain Title Data Driven [Default]","","Tue Nov 18 10:32:49 UTC 2025","passed","Tue Nov 18 10:32:50 UTC 2025","Data Driven Example","Tests","",""
"","684","Example Domain Title Data Driven [Caps]","","Tue Nov 18 10:32:51 UTC 2025","passed","Tue Nov 18 10:32:52 UTC 2025","Data Driven Example","Tests","",""
"","1331","High Example (Project A)","Tests","Tue Nov 18 10:32:55 UTC 2025","passed","Tue Nov 18 10:32:57 UTC 2025","highExample","ProjectA","",""
"","7381","User can submit vehicle data successfully","Tests","Tue Nov 18 10:32:59 UTC 2025","passed","Tue Nov 18 10:33:06 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates all available log levels","56","Logging Example - All Log Levels","Tests","Tue Nov 18 10:32:52 UTC 2025","passed","Tue Nov 18 10:32:52 UTC 2025","Logging Example","ProjectA","",""
