"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Wrapper Click Demo (Project A)","Tests","Wed Dec 03 13:47:35 UTC 2025","failed","Wed Dec 03 13:47:35 UTC 2025","Example","ProjectA","",""
"Demonstrates logging in loops with data processing","50","Logging Example - Data Processing Loop","Tests","Wed Dec 03 13:47:38 UTC 2025","passed","Wed Dec 03 13:47:38 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","493","Logging Example - Browser Test With Logging","Tests","Wed Dec 03 13:47:37 UTC 2025","passed","Wed Dec 03 13:47:38 UTC 2025","Logging Example","ProjectA","",""
"","533","Example Domain Title Data Driven [Localized]","","Wed Dec 03 13:47:34 UTC 2025","passed","Wed Dec 03 13:47:34 UTC 2025","Data Driven Example","Tests","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","6","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Wed Dec 03 13:47:38 UTC 2025","skipped","Wed Dec 03 13:47:38 UTC 2025","PlaywrightExample","ProjectA","",""
"","6","Check Detection Only","","Wed Dec 03 13:47:32 UTC 2025","failed","Wed Dec 03 13:47:32 UTC 2025","Home","Tests","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Wed Dec 03 13:47:36 UTC 2025","passed","Wed Dec 03 13:47:36 UTC 2025","Logging Example","ProjectA","",""
"","571","Example Domain Title Data Driven [Caps]","","Wed Dec 03 13:47:34 UTC 2025","passed","Wed Dec 03 13:47:35 UTC 2025","Data Driven Example","Tests","",""
"","2326","User","Tests","Wed Dec 03 13:47:41 UTC 2025","failed","Wed Dec 03 13:47:43 UTC 2025","Autowelt","ProjectHUK","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","212","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Wed Dec 03 13:47:38 UTC 2025","passed","Wed Dec 03 13:47:38 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates logging with variables and expressions","32","Logging Example - Variable Logging","Tests","Wed Dec 03 13:47:38 UTC 2025","passed","Wed Dec 03 13:47:38 UTC 2025","Logging Example","ProjectA","",""
"","2949","User Can Submit Vehicle Data Successfully","Tests","Wed Dec 03 13:47:46 UTC 2025","passed","Wed Dec 03 13:47:49 UTC 2025","Test","ProjectHUK","",""
"","1184","High Example (Project A)","Tests","Wed Dec 03 13:47:39 UTC 2025","failed","Wed Dec 03 13:47:40 UTC 2025","highExample","ProjectA","",""
"Demonstrates logging in error scenarios","13","Logging Example - Error Handling","Tests","Wed Dec 03 13:47:38 UTC 2025","passed","Wed Dec 03 13:47:38 UTC 2025","Logging Example","ProjectA","",""
"","3655","Open Page in new Tab","Tests","Wed Dec 03 13:47:42 UTC 2025","failed","Wed Dec 03 13:47:45 UTC 2025","Home","ProjectHUK","",""
"","1587","Example Domain Title Data Driven [Default]","","Wed Dec 03 13:47:32 UTC 2025","passed","Wed Dec 03 13:47:34 UTC 2025","Data Driven Example","Tests","",""
