"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","10","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Tue Nov 18 12:57:27 UTC 2025","skipped","Tue Nov 18 12:57:27 UTC 2025","PlaywrightExample","ProjectA","",""
"","1465","Example Domain Title Data Driven [Default]","","Tue Nov 18 12:57:22 UTC 2025","passed","Tue Nov 18 12:57:23 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Tue Nov 18 12:57:25 UTC 2025","passed","Tue Nov 18 12:57:25 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","189","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Tue Nov 18 12:57:26 UTC 2025","passed","Tue Nov 18 12:57:27 UTC 2025","PlaywrightExample","ProjectA","",""
"","536","Example Domain Title Data Driven [Localized]","","Tue Nov 18 12:57:23 UTC 2025","passed","Tue Nov 18 12:57:24 UTC 2025","Data Driven Example","Tests","",""
"","13036","Open Page in new Tab","Tests","Tue Nov 18 12:57:30 UTC 2025","passed","Tue Nov 18 12:57:43 UTC 2025","Home","ProjectHUK","",""
"","340","Example Domain Title Data Driven [Caps]","","Tue Nov 18 12:57:24 UTC 2025","passed","Tue Nov 18 12:57:24 UTC 2025","Data Driven Example","Tests","",""
"","393","Wrapper Click Demo (Project A)","Tests","Tue Nov 18 12:57:23 UTC 2025","passed","Tue Nov 18 12:57:23 UTC 2025","Example","ProjectA","",""
"Demonstrates logging in error scenarios","1047","Logging Example - Error Handling","Tests","Tue Nov 18 12:57:26 UTC 2025","passed","Tue Nov 18 12:57:27 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","591","Logging Example - Browser Test With Logging","Tests","Tue Nov 18 12:57:26 UTC 2025","passed","Tue Nov 18 12:57:26 UTC 2025","Logging Example","ProjectA","",""
"","8893","User can submit vehicle data successfully","Tests","Tue Nov 18 12:57:32 UTC 2025","passed","Tue Nov 18 12:57:41 UTC 2025","Autowelt","ProjectHUK","",""
"","1247","High Example (Project A)","Tests","Tue Nov 18 12:57:28 UTC 2025","passed","Tue Nov 18 12:57:29 UTC 2025","highExample","ProjectA","",""
"Demonstrates logging in loops with data processing","42","Logging Example - Data Processing Loop","Tests","Tue Nov 18 12:57:27 UTC 2025","passed","Tue Nov 18 12:57:27 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","14","Logging Example - Variable Logging","Tests","Tue Nov 18 12:57:27 UTC 2025","passed","Tue Nov 18 12:57:27 UTC 2025","Logging Example","ProjectA","",""
