"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"These are demonstration messages. An ERROR log line alone is not a failed assertion.","47","Logging Levels Are Visible In The Report","Module Examples","2026-09-11","passed","2026-09-11","Levels And Test Status","Logging","",""
"","5","Zero","Module Examples","2026-09-11","passed","2026-09-11","Standalone","Data-Driven","",""
"Each group represents one coherent part of the same business journey.","1880","Medium Level - Booking Is Composed From Reusable Action Groups","UI Examples","2026-09-11","passed","2026-09-11","01 Keyword Levels","UI components","",""
"","5","Negative","Module Examples","2026-09-11","passed","2026-09-11","Standalone","Data-Driven","",""
"","5403","Carol Books UI Automation","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Parallel","",""
"Insert bob with bound parameters, read the row count, update his status, verify it and delete only his record. Alice must remain unchanged.","16","Coordinator Manages A Second Booking","","2026-09-11","passed","2026-09-11","Postgres","Database Examples","",""
"Reveal a hover menu, activate its action and assert the resulting content.","482","Hover Reveals A Menu Action","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"","455","Second local page","Module Examples","2026-09-11","passed","2026-09-11","Browser Composition","Data-Driven","",""
"Accept the confirmation dialog and verify the booking is cancelled.","368","Confirmation Can Be Accepted To Cancel The Booking","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"Use the frame selector to interact with the embedded document instead of the parent page.","384","Frame Selector Addresses Only The Embedded Form","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"Upload the versioned preparation file and verify the app reads both its filename and contents.","328","File Upload Reads The Selected Local Fixture","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"Expanded input/select/click steps reveal the mechanics hidden by the higher levels.","1807","Low Level - Booking Uses Only Individual Technical Actions","UI Examples","2026-09-11","passed","2026-09-11","01 Keyword Levels","UI components","",""
"","6","Small numbers","Module Examples","2026-09-11","passed","2026-09-11","Standalone","Data-Driven","",""
"","1952","First local page","Module Examples","2026-09-11","passed","2026-09-11","Browser Composition","Data-Driven","",""
"Switch the browser offline, verify the visible failure, then restore connectivity and retry the same operation.","922","Offline Failure Is Visible And The Same Action Recovers Online","UI Examples","2026-09-11","passed","2026-09-11","05 Contexts And Network Edge Cases","UI components","",""
"Two equivalent XML elements with reordered attributes must compare equal.","2","Attribute Order Does Not Affect Equality","Module Examples","2026-09-11","passed","2026-09-11","Xml Comparison","Xml","",""
"A consumer submits quantity but forgets the required product. We prove the request violates the contract, then independently validate the documented HTTP 422 error response. This distinguishes a bad consumer request from a broken provider response.","94","Invalid Consumer Request Is Detected","","2026-09-11","passed","2026-09-11","02 Openapi Contract","API Examples","",""
"Insert bob inside an uncommitted transaction, verify the temporary row is visible in that session, roll back and prove the original single-row state is restored.","12","Cancelled Booking Change Is Rolled Back","","2026-09-11","passed","2026-09-11","Oracle","Database Examples","",""
"","1952","Carol Books UI Automation","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Sequential","",""
"Compare two owned JSON fixtures and verify the public API returns a structured difference summary.","3","Different JSON Documents Produce A Structured Diff","Module Examples","2026-09-11","passed","2026-09-11","Json Comparison","Json","",""
"Apply the owned tag-filter/replacement rules and verify that the resulting XML structures match.","6","Configured XML Files Match","Module Examples","2026-09-11","passed","2026-09-11","Xml Comparison","Xml","",""
"After the app replaces a DOM node, reuse its selector and verify the replacement receives the new value.","486","Locator Finds The Replacement DOM Element On The Next Action","UI Examples","2026-09-11","passed","2026-09-11","03 Forms And Playwright Waiting","UI components","",""
"Change an ID and remove a debug field on a returned copy, then assert the expected JSON.","3","Runtime Keywords Return A Modified Copy","Module Examples","2026-09-11","passed","2026-09-11","Configured Comparison And Edits","Json","",""
"Stop at one difference and verify the report explicitly records the reached limit.","5","Configured Discrepancy Limit Is Recorded","Module Examples","2026-09-11","passed","2026-09-11","Configured Comparison And Edits","Json","",""
"Preparation creates an outage mapping. We remove it and prove a new request no longer matches. Reset then clears the supplier journal, and an explicit zero-call assertion verifies that cleanup happened.","3067","Mappings Can Be Removed And Reset","","2026-09-11","passed","2026-09-11","03 Wiremock","API Examples","",""
"Reject the confirmation dialog and verify the booking remains.","351","Confirmation Can Be Dismissed To Keep The Booking","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"Preparation teaches an isolated supplier the expected XML request. The test submits that request and compares the real HTTP response using the XML module. Structural XML matching and business response comparison are visible separately.","3270","XML Request Matching And Response Comparison","","2026-09-11","passed","2026-09-11","03 Wiremock","API Examples","",""
"Perform a real pointer drag and verify the application accepts the dropped workshop.","430","Drag And Drop Adds A Workshop To The Target","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"Connect/login was completed in suite preparation. Extract rows from the actual database and verify alice is the sole confirmed participant.","11","Coordinator Reads The Confirmed Booking","","2026-09-11","passed","2026-09-11","Postgres","Database Examples","",""
"","2117","Alice Books UI Automation","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Sequential","",""
"Exercise the basic equality result before adding filters or runtime modifications.","3","Equal JSON Documents Produce No Differences","Module Examples","2026-09-11","passed","2026-09-11","Json Comparison","Json","",""
"","5853","Bob Books API Testing","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Parallel","",""
"Prove that an absent customer override falls back to Default Fill Text and still enters the intended value.","348","Missing Customer Fill Method Uses The Playbot Default","UI Examples","2026-09-11","passed","2026-09-11","02 Automatic Page And Method Resolution","UI components","",""
"","5509","Dan Books API Testing","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Parallel","",""
"Address an open shadow root using a CSS locator; verify the component displays the entered text.","334","CSS Locator Reaches An Input Inside An Open Shadow Root","UI Examples","2026-09-11","passed","2026-09-11","04 Modern Browser Controls","UI components","",""
"","5899","Alice Books UI Automation","UI Examples","2026-09-11","passed","2026-09-11","Bookings","Parallel","",""
"A consumer relies on the published order API contract. We fetch a real order and validate the actual request and response, including authentication header, HTTP status, media type and field types. The attached contract explains what the provider promised.","607","Real Provider Meets OpenAPI Contract","","2026-09-11","passed","2026-09-11","02 Openapi Contract","API Examples","",""
"A partner system requests order 42 in XML format. We compare identifiers, status and attributes using the existing XML module. Only the technical trace element is ignored; a different business value must still fail.","8","XML Response Uses Existing Tag Filters","","2026-09-11","passed","2026-09-11","01 Http Json Xml","API Examples","",""
"Export a PNG with an opaque black region and inspect a pixel inside that region.","14","Screenshot Regions Are Opaque Black","","2026-09-11","passed","2026-09-11","Redaction","PDF Examples","",""
"A consumer submits a Workshop product. The contract requires a product string in the request and a created order in the HTTP 201 response. Both directions are validated against the same checked-in OpenAPI contract.","54","Create Operation Meets Request And Response Contract","","2026-09-11","passed","2026-09-11","02 Openapi Contract","API Examples","",""
