"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33835","HUK noRouting LowKeys Demo","","Fri Feb 20 07:01:45 UTC 2026","failed","Fri Feb 20 07:02:19 UTC 2026","Huk-Norouting","Tests Gherkin Generated","",""
"","1489","Wrapper Click Demo (Project A)","","Fri Feb 20 07:00:40 UTC 2026","passed","Fri Feb 20 07:00:42 UTC 2026","Example","Tests Gherkin Generated","",""
"","261","Logging Example - Variable Logging","","Fri Feb 20 07:01:50 UTC 2026","passed","Fri Feb 20 07:01:50 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","29841","Fahrzeugdaten und optische Daten erfassen","","Fri Feb 20 07:01:14 UTC 2026","passed","Fri Feb 20 07:01:44 UTC 2026","Huk-Autowelt-Demo-Flow","Tests Gherkin Generated","",""
"","1946","Example Domain Title From CSV","","Fri Feb 20 07:00:37 UTC 2026","passed","Fri Feb 20 07:00:39 UTC 2026","Data-Driven-Example","Tests Gherkin Generated","",""
"","1127","Logging Example - All Log Levels","","Fri Feb 20 07:01:48 UTC 2026","passed","Fri Feb 20 07:01:49 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","1129","High Example (Project A)","","Fri Feb 20 07:00:43 UTC 2026","passed","Fri Feb 20 07:00:44 UTC 2026","Highexample","Tests Gherkin Generated","",""
"","295","Logging Example - Data Processing Loop","","Fri Feb 20 07:01:50 UTC 2026","passed","Fri Feb 20 07:01:50 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","263","Logging Example - Error Handling","","Fri Feb 20 07:01:49 UTC 2026","passed","Fri Feb 20 07:01:50 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","1096","Playwright Via Browser - Evaluate JS (Same Session)","","Fri Feb 20 07:01:51 UTC 2026","passed","Fri Feb 20 07:01:52 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","30648","Fahrzeugdaten und optische Daten erfassen (data driven) [1]","","Fri Feb 20 07:00:45 UTC 2026","passed","Fri Feb 20 07:01:16 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
"","342","Playwright Direct Example - H1 Text And PDF (Chromium)","","Fri Feb 20 07:01:52 UTC 2026","skipped","Fri Feb 20 07:01:53 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","30690","Fahrzeugdaten und optische Daten erfassen (data driven) [2]","","Fri Feb 20 07:01:16 UTC 2026","passed","Fri Feb 20 07:01:46 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
"","35173","HUK Autowelt LowKeys Demo","","Fri Feb 20 07:00:37 UTC 2026","failed","Fri Feb 20 07:01:12 UTC 2026","Autowelt-Lowkeys","Tests Gherkin Generated","",""
"","607","Logging Example - Browser Test With Logging","","Fri Feb 20 07:01:49 UTC 2026","passed","Fri Feb 20 07:01:49 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
