"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Check Detection Only","","Wed Dec 03 14:57:33 UTC 2025","failed","Wed Dec 03 14:57:33 UTC 2025","Home","Tests","",""
"Demonstrates logging in loops with data processing","49","Logging Example - Data Processing Loop","Tests","Wed Dec 03 14:57:39 UTC 2025","passed","Wed Dec 03 14:57:39 UTC 2025","Logging Example","ProjectA","",""
"","1196","High Example (Project A)","Tests","Wed Dec 03 14:57:40 UTC 2025","failed","Wed Dec 03 14:57:41 UTC 2025","highExample","ProjectA","",""
"","2076","User","Tests","Wed Dec 03 14:57:42 UTC 2025","failed","Wed Dec 03 14:57:44 UTC 2025","Autowelt","ProjectHUK","",""
"","1816","User Can Submit Vehicle Data Successfully","Tests","Wed Dec 03 14:57:47 UTC 2025","passed","Wed Dec 03 14:57:49 UTC 2025","Test","ProjectHUK","",""
"","410","Example Domain Title Data Driven [Caps]","","Wed Dec 03 14:57:35 UTC 2025","passed","Wed Dec 03 14:57:36 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates all available log levels","39","Logging Example - All Log Levels","Tests","Wed Dec 03 14:57:37 UTC 2025","passed","Wed Dec 03 14:57:37 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in error scenarios","15","Logging Example - Error Handling","Tests","Wed Dec 03 14:57:39 UTC 2025","passed","Wed Dec 03 14:57:39 UTC 2025","Logging Example","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","8","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Wed Dec 03 14:57:39 UTC 2025","skipped","Wed Dec 03 14:57:39 UTC 2025","PlaywrightExample","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","273","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Wed Dec 03 14:57:39 UTC 2025","passed","Wed Dec 03 14:57:39 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates logging throughout a browser test","670","Logging Example - Browser Test With Logging","Tests","Wed Dec 03 14:57:38 UTC 2025","passed","Wed Dec 03 14:57:39 UTC 2025","Logging Example","ProjectA","",""
"","582","Example Domain Title Data Driven [Localized]","","Wed Dec 03 14:57:35 UTC 2025","passed","Wed Dec 03 14:57:35 UTC 2025","Data Driven Example","Tests","",""
"","1622","Example Domain Title Data Driven [Default]","","Wed Dec 03 14:57:33 UTC 2025","passed","Wed Dec 03 14:57:35 UTC 2025","Data Driven Example","Tests","",""
"","171","Wrapper Click Demo (Project A)","Tests","Wed Dec 03 14:57:37 UTC 2025","failed","Wed Dec 03 14:57:37 UTC 2025","Example","ProjectA","",""
"Demonstrates logging with variables and expressions","16","Logging Example - Variable Logging","Tests","Wed Dec 03 14:57:39 UTC 2025","passed","Wed Dec 03 14:57:39 UTC 2025","Logging Example","ProjectA","",""
"","3257","Open Page in new Tab","Tests","Wed Dec 03 14:57:43 UTC 2025","failed","Wed Dec 03 14:57:46 UTC 2025","Home","ProjectHUK","",""
