"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","Wrapper Click Demo (Project A)","Tests","Mon Feb 16 09:46:20 UTC 2026","passed","Mon Feb 16 09:46:21 UTC 2026","Example","ProjectA","",""
"","579","Uppercase","Tests","Mon Feb 16 09:46:22 UTC 2026","passed","Mon Feb 16 09:46:22 UTC 2026","Data Driven Example","Data Driven","",""
"","24049","HUK Autowelt Demo Flow","Tests","Mon Feb 16 09:46:29 UTC 2026","failed","Mon Feb 16 09:46:53 UTC 2026","Autowelt","ProjectHUK","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords.
Die Keywords kommen direct von Browser Library. No wrapping Action-Keywords.","15358","HUK Autowelt LowKeys Demo","Tests","Mon Feb 16 09:46:42 UTC 2026","failed","Mon Feb 16 09:46:58 UTC 2026","HUK noRouting","ProjectHUK","",""
"Demonstrates logging with variables and expressions","16","Logging Example - Variable Logging","Tests","Mon Feb 16 09:46:24 UTC 2026","passed","Mon Feb 16 09:46:24 UTC 2026","Logging Example","ProjectA","",""
"","224","High Example (Project A)","Tests","Mon Feb 16 09:46:26 UTC 2026","passed","Mon Feb 16 09:46:27 UTC 2026","highExample","ProjectA","",""
"Demonstrates logging throughout a browser test","635","Logging Example - Browser Test With Logging","Tests","Mon Feb 16 09:46:23 UTC 2026","passed","Mon Feb 16 09:46:24 UTC 2026","Logging Example","ProjectA","",""
"","1608","Default","Tests","Mon Feb 16 09:46:19 UTC 2026","passed","Mon Feb 16 09:46:21 UTC 2026","Data Driven Example","Data Driven","",""
"Demonstrates logging in error scenarios","29","Logging Example - Error Handling","Tests","Mon Feb 16 09:46:24 UTC 2026","passed","Mon Feb 16 09:46:24 UTC 2026","Logging Example","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","14883","HUK Autowelt LowKeys Demo","Tests","Mon Feb 16 09:46:26 UTC 2026","failed","Mon Feb 16 09:46:41 UTC 2026","AutoWelt LowKeys","ProjectHUK","",""
"Demonstrates all available log levels","56","Logging Example - All Log Levels","Tests","Mon Feb 16 09:46:22 UTC 2026","passed","Mon Feb 16 09:46:22 UTC 2026","Logging Example","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","9","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Mon Feb 16 09:46:25 UTC 2026","skipped","Mon Feb 16 09:46:25 UTC 2026","PlaywrightExample","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","291","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Mon Feb 16 09:46:24 UTC 2026","passed","Mon Feb 16 09:46:25 UTC 2026","PlaywrightExample","ProjectA","",""
"Demonstrates logging in loops with data processing","48","Logging Example - Data Processing Loop","Tests","Mon Feb 16 09:46:24 UTC 2026","passed","Mon Feb 16 09:46:24 UTC 2026","Logging Example","ProjectA","",""
"","540","Localized","Tests","Mon Feb 16 09:46:21 UTC 2026","passed","Mon Feb 16 09:46:22 UTC 2026","Data Driven Example","Data Driven","",""
