"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Demonstrates logging in error scenarios","1044","Logging Example - Error Handling","Tests","Tue Nov 18 09:39:24 UTC 2025","passed","Tue Nov 18 09:39:25 UTC 2025","Logging Example","ProjectA","",""
"","1378","Example Domain Title Data Driven [Default]","","Tue Nov 18 09:39:20 UTC 2025","passed","Tue Nov 18 09:39:21 UTC 2025","Data Driven Example","Tests","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","184","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Tue Nov 18 09:39:24 UTC 2025","passed","Tue Nov 18 09:39:24 UTC 2025","PlaywrightExample","ProjectA","",""
"","1238","High Example (Project A)","Tests","Tue Nov 18 09:39:25 UTC 2025","passed","Tue Nov 18 09:39:27 UTC 2025","highExample","ProjectA","",""
"","399","Wrapper Click Demo (Project A)","Tests","Tue Nov 18 09:39:21 UTC 2025","passed","Tue Nov 18 09:39:21 UTC 2025","Example","ProjectA","",""
"","537","Example Domain Title Data Driven [Localized]","","Tue Nov 18 09:39:21 UTC 2025","passed","Tue Nov 18 09:39:22 UTC 2025","Data Driven Example","Tests","",""
"","19655","Open Page in new Tab","Tests","Tue Nov 18 09:39:28 UTC 2025","failed","Tue Nov 18 09:39:48 UTC 2025","Home","ProjectHUK","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","12","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Tue Nov 18 09:39:24 UTC 2025","skipped","Tue Nov 18 09:39:24 UTC 2025","PlaywrightExample","ProjectA","",""
"","338","Example Domain Title Data Driven [Caps]","","Tue Nov 18 09:39:22 UTC 2025","passed","Tue Nov 18 09:39:22 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Tue Nov 18 09:39:23 UTC 2025","passed","Tue Nov 18 09:39:23 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","42","Logging Example - Data Processing Loop","Tests","Tue Nov 18 09:39:25 UTC 2025","passed","Tue Nov 18 09:39:25 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","16","Logging Example - Variable Logging","Tests","Tue Nov 18 09:39:25 UTC 2025","passed","Tue Nov 18 09:39:25 UTC 2025","Logging Example","ProjectA","",""
"","8080","User can submit vehicle data successfully","Tests","Tue Nov 18 09:39:30 UTC 2025","passed","Tue Nov 18 09:39:38 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates logging throughout a browser test","601","Logging Example - Browser Test With Logging","Tests","Tue Nov 18 09:39:23 UTC 2025","passed","Tue Nov 18 09:39:24 UTC 2025","Logging Example","ProjectA","",""
