"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","9","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Thu Nov 20 14:00:34 UTC 2025","skipped","Thu Nov 20 14:00:34 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates all available log levels","61","Logging Example - All Log Levels","Tests","Thu Nov 20 14:00:32 UTC 2025","passed","Thu Nov 20 14:00:32 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","44","Logging Example - Data Processing Loop","Tests","Thu Nov 20 14:00:35 UTC 2025","passed","Thu Nov 20 14:00:35 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","194","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Thu Nov 20 14:00:34 UTC 2025","passed","Thu Nov 20 14:00:34 UTC 2025","PlaywrightExample","ProjectA","",""
"","11805","User can submit vehicle data successfully","Tests","Thu Nov 20 14:00:39 UTC 2025","passed","Thu Nov 20 14:00:51 UTC 2025","Autowelt","ProjectHUK","",""
"","396","Wrapper Click Demo (Project A)","Tests","Thu Nov 20 14:00:30 UTC 2025","passed","Thu Nov 20 14:00:31 UTC 2025","Example","ProjectA","",""
"","1549","Example Domain Title Data Driven [Default]","","Thu Nov 20 14:00:29 UTC 2025","passed","Thu Nov 20 14:00:31 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging throughout a browser test","442","Logging Example - Browser Test With Logging","Tests","Thu Nov 20 14:00:33 UTC 2025","passed","Thu Nov 20 14:00:33 UTC 2025","Logging Example","ProjectA","",""
"","515","Example Domain Title Data Driven [Caps]","","Thu Nov 20 14:00:31 UTC 2025","passed","Thu Nov 20 14:00:32 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging with variables and expressions","16","Logging Example - Variable Logging","Tests","Thu Nov 20 14:00:35 UTC 2025","passed","Thu Nov 20 14:00:35 UTC 2025","Logging Example","ProjectA","",""
"","14458","Open Page in new Tab","Tests","Thu Nov 20 14:00:38 UTC 2025","passed","Thu Nov 20 14:00:52 UTC 2025","Home","ProjectHUK","",""
"","1267","High Example (Project A)","Tests","Thu Nov 20 14:00:35 UTC 2025","passed","Thu Nov 20 14:00:37 UTC 2025","highExample","ProjectA","",""
"","481","Example Domain Title Data Driven [Localized]","","Thu Nov 20 14:00:31 UTC 2025","passed","Thu Nov 20 14:00:31 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging in error scenarios","1041","Logging Example - Error Handling","Tests","Thu Nov 20 14:00:34 UTC 2025","passed","Thu Nov 20 14:00:35 UTC 2025","Logging Example","ProjectA","",""
