"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","168","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Fri Dec 19 10:38:42 UTC 2025","passed","Fri Dec 19 10:38:42 UTC 2025","PlaywrightExample","ProjectA","",""
"","6426","HUK Autowelt Demo Flow","Tests","Fri Dec 19 10:38:48 UTC 2025","passed","Fri Dec 19 10:38:55 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates logging in error scenarios","18","Logging Example - Error Handling","Tests","Fri Dec 19 10:38:41 UTC 2025","passed","Fri Dec 19 10:38:41 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in loops with data processing","29","Logging Example - Data Processing Loop","Tests","Fri Dec 19 10:38:41 UTC 2025","passed","Fri Dec 19 10:38:41 UTC 2025","Logging Example","ProjectA","",""
"","8119","Default","Tests","Fri Dec 19 10:38:37 UTC 2025","passed","Fri Dec 19 10:38:45 UTC 2025","Data Driven Example","Data Driven","",""
"Demonstrates all available log levels","38","Logging Example - All Log Levels","Tests","Fri Dec 19 10:38:40 UTC 2025","passed","Fri Dec 19 10:38:40 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","11","Logging Example - Variable Logging","Tests","Fri Dec 19 10:38:41 UTC 2025","passed","Fri Dec 19 10:38:41 UTC 2025","Logging Example","ProjectA","",""
"","387","Uppercase","Tests","Fri Dec 19 10:38:46 UTC 2025","passed","Fri Dec 19 10:38:46 UTC 2025","Data Driven Example","Data Driven","",""
"Demonstrates logging throughout a browser test","295","Logging Example - Browser Test With Logging","Tests","Fri Dec 19 10:38:40 UTC 2025","passed","Fri Dec 19 10:38:41 UTC 2025","Logging Example","ProjectA","",""
"","295","Wrapper Click Demo (Project A)","Tests","Fri Dec 19 10:38:38 UTC 2025","passed","Fri Dec 19 10:38:39 UTC 2025","Example","ProjectA","",""
"","381","Localized","Tests","Fri Dec 19 10:38:45 UTC 2025","passed","Fri Dec 19 10:38:46 UTC 2025","Data Driven Example","Data Driven","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","7872","HUK Autowelt LowKeys Demo","Tests","Fri Dec 19 10:38:46 UTC 2025","passed","Fri Dec 19 10:38:54 UTC 2025","AutoWelt LowKeys","ProjectHUK","",""
"","136","High Example (Project A)","Tests","Fri Dec 19 10:38:44 UTC 2025","passed","Fri Dec 19 10:38:44 UTC 2025","highExample","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","4","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Fri Dec 19 10:38:43 UTC 2025","skipped","Fri Dec 19 10:38:43 UTC 2025","PlaywrightExample","ProjectA","",""
