"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","900","Logging Example - All Log Levels","","Wed Feb 18 11:20:11 UTC 2026","passed","Wed Feb 18 11:20:12 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","1831","Example Domain Title From CSV","","Wed Feb 18 11:19:17 UTC 2026","passed","Wed Feb 18 11:19:19 UTC 2026","Data-Driven-Example","Tests Gherkin Generated","",""
"","19330","HUK noRouting LowKeys Demo","","Wed Feb 18 11:19:55 UTC 2026","failed","Wed Feb 18 11:20:15 UTC 2026","Huk-Norouting","Tests Gherkin Generated","",""
"","621","Playwright Direct Example - H1 Text And PDF (Chromium)","","Wed Feb 18 11:20:17 UTC 2026","skipped","Wed Feb 18 11:20:18 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","1514","Wrapper Click Demo (Project A)","","Wed Feb 18 11:19:20 UTC 2026","passed","Wed Feb 18 11:19:21 UTC 2026","Example","Tests Gherkin Generated","",""
"","1197","High Example (Project A)","","Wed Feb 18 11:19:22 UTC 2026","passed","Wed Feb 18 11:19:24 UTC 2026","Highexample","Tests Gherkin Generated","",""
"","5855","Logging Example - Browser Test With Logging","","Wed Feb 18 11:20:12 UTC 2026","passed","Wed Feb 18 11:20:17 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","14820","HUK Autowelt LowKeys Demo","","Wed Feb 18 11:19:17 UTC 2026","failed","Wed Feb 18 11:19:32 UTC 2026","Autowelt-Lowkeys","Tests Gherkin Generated","",""
"","297","Logging Example - Data Processing Loop","","Wed Feb 18 11:20:18 UTC 2026","passed","Wed Feb 18 11:20:18 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","22164","Fahrzeugdaten und optische Daten erfassen (data driven) [1]","","Wed Feb 18 11:19:25 UTC 2026","failed","Wed Feb 18 11:19:47 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
"","281","Logging Example - Variable Logging","","Wed Feb 18 11:20:18 UTC 2026","passed","Wed Feb 18 11:20:18 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","21012","Fahrzeugdaten und optische Daten erfassen","","Wed Feb 18 11:19:33 UTC 2026","failed","Wed Feb 18 11:19:54 UTC 2026","Huk-Autowelt-Demo-Flow","Tests Gherkin Generated","",""
"","22820","Fahrzeugdaten und optische Daten erfassen (data driven) [2]","","Wed Feb 18 11:19:47 UTC 2026","failed","Wed Feb 18 11:20:10 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
"","1185","Playwright Via Browser - Evaluate JS (Same Session)","","Wed Feb 18 11:20:16 UTC 2026","passed","Wed Feb 18 11:20:17 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","384","Logging Example - Error Handling","","Wed Feb 18 11:20:17 UTC 2026","passed","Wed Feb 18 11:20:18 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
