"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2308","User","Tests","Thu Dec 04 11:10:29 UTC 2025","failed","Thu Dec 04 11:10:31 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates logging in loops with data processing","54","Logging Example - Data Processing Loop","Tests","Thu Dec 04 11:10:26 UTC 2025","passed","Thu Dec 04 11:10:26 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging in error scenarios","31","Logging Example - Error Handling","Tests","Thu Dec 04 11:10:26 UTC 2025","passed","Thu Dec 04 11:10:26 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","598","Logging Example - Browser Test With Logging","Tests","Thu Dec 04 11:10:25 UTC 2025","passed","Thu Dec 04 11:10:26 UTC 2025","Logging Example","ProjectA","",""
"","490","Example Domain Title Data Driven [Caps]","","Thu Dec 04 11:10:22 UTC 2025","passed","Thu Dec 04 11:10:23 UTC 2025","Data Driven Example","Tests","",""
"","3206","Open Page in new Tab","Tests","Thu Dec 04 11:10:30 UTC 2025","failed","Thu Dec 04 11:10:33 UTC 2025","Home","ProjectHUK","",""
"","1097","High Example (Project A)","Tests","Thu Dec 04 11:10:27 UTC 2025","failed","Thu Dec 04 11:10:28 UTC 2025","highExample","ProjectA","",""
"","1784","User Can Submit Vehicle Data Successfully","Tests","Thu Dec 04 11:10:33 UTC 2025","passed","Thu Dec 04 11:10:35 UTC 2025","Test","ProjectHUK","",""
"","6","Check Detection Only","","Thu Dec 04 11:10:20 UTC 2025","failed","Thu Dec 04 11:10:20 UTC 2025","Home","Tests","",""
"","1581","Example Domain Title Data Driven [Default]","","Thu Dec 04 11:10:20 UTC 2025","passed","Thu Dec 04 11:10:22 UTC 2025","Data Driven Example","Tests","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","4","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Thu Dec 04 11:10:26 UTC 2025","skipped","Thu Dec 04 11:10:26 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates all available log levels","64","Logging Example - All Log Levels","Tests","Thu Dec 04 11:10:24 UTC 2025","passed","Thu Dec 04 11:10:24 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","251","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Thu Dec 04 11:10:26 UTC 2025","passed","Thu Dec 04 11:10:26 UTC 2025","PlaywrightExample","ProjectA","",""
"","143","Wrapper Click Demo (Project A)","Tests","Thu Dec 04 11:10:23 UTC 2025","failed","Thu Dec 04 11:10:23 UTC 2025","Example","ProjectA","",""
"","550","Example Domain Title Data Driven [Localized]","","Thu Dec 04 11:10:22 UTC 2025","passed","Thu Dec 04 11:10:22 UTC 2025","Data Driven Example","Tests","",""
"Demonstrates logging with variables and expressions","17","Logging Example - Variable Logging","Tests","Thu Dec 04 11:10:26 UTC 2025","passed","Thu Dec 04 11:10:26 UTC 2025","Logging Example","ProjectA","",""
