"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"After the app replaces a DOM node, reuse its selector and verify the replacement receives the new value.","474","Locator Finds The Replacement DOM Element On The Next Action","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Follow the same semantic Continue action across login and booking, and verify both resolved selectors and customer overrides.","2045","Same Continue Name Resolves To Different Locators On Two Pages","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Perform a real pointer drag and verify the application accepts the dropped workshop.","429","Drag And Drop Adds A Workshop To The Target","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Use a CSS locator when a semantic page mapping is unnecessary; check the actual input value.","294","Technical Locator Can Be Used Directly Without A Semantic Mapping","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Reveal a hover menu, activate its action and assert the resulting content.","441","Hover Reveals A Menu Action","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Expanded input/select/click steps reveal the mechanics hidden by the higher levels.","1763","Low Level - Booking Uses Only Individual Technical Actions","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"Register the response promise before the action to avoid a race, then assert HTTP status, data and visible feedback.","764","AJAX Wait Is Registered Before The Click And Checks Response And UI","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Use configured filters and transformations; compare the input file before and after to prove it is not rewritten.","6","Configured Files Match Without Changing Test Data","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"Shared text and area masks intentionally exclude dynamic content before pixel comparison.","22","Configured Masks Ignore Dynamic Text And Graphics","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"Limit comparison to the status field and ignore unrelated fixture differences.","2","Whitelist Selects Only Business Fields","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"The name and date differ. Catch the expected failure and show the HTML/JSON evidence.","62","Changed Text Produces A Readable Difference","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"","1960","Alice Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Browser's Evaluate JavaScript uses the existing context, including the current DOM.","426","JavaScript Reads The Current Browser Page","UI Examples","2026-09-10","passed","2026-09-10","06 Javascript In Browser","UI components","",""
