"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","602","Example Domain Title Data Driven [Caps]","","Wed Dec 03 17:21:26 UTC 2025","passed","Wed Dec 03 17:21:26 UTC 2025","Data Driven Example","Tests","",""
"","1535","Example Domain Title Data Driven [Default]","","Wed Dec 03 17:21:23 UTC 2025","passed","Wed Dec 03 17:21:25 UTC 2025","Data Driven Example","Tests","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","336","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Wed Dec 03 17:21:30 UTC 2025","passed","Wed Dec 03 17:21:30 UTC 2025","PlaywrightExample","ProjectA","",""
"","2209","User Can Submit Vehicle Data Successfully","Tests","Wed Dec 03 17:21:40 UTC 2025","passed","Wed Dec 03 17:21:42 UTC 2025","Test","ProjectHUK","",""
"","555","Example Domain Title Data Driven [Localized]","","Wed Dec 03 17:21:25 UTC 2025","passed","Wed Dec 03 17:21:26 UTC 2025","Data Driven Example","Tests","",""
"","5","Check Detection Only","","Wed Dec 03 17:21:23 UTC 2025","failed","Wed Dec 03 17:21:23 UTC 2025","Home","Tests","",""
"Demonstrates all available log levels","62","Logging Example - All Log Levels","Tests","Wed Dec 03 17:21:28 UTC 2025","passed","Wed Dec 03 17:21:28 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging with variables and expressions","15","Logging Example - Variable Logging","Tests","Wed Dec 03 17:21:29 UTC 2025","passed","Wed Dec 03 17:21:29 UTC 2025","Logging Example","ProjectA","",""
"","2989","User","Tests","Wed Dec 03 17:21:34 UTC 2025","failed","Wed Dec 03 17:21:37 UTC 2025","Autowelt","ProjectHUK","",""
"","144","Wrapper Click Demo (Project A)","Tests","Wed Dec 03 17:21:26 UTC 2025","failed","Wed Dec 03 17:21:27 UTC 2025","Example","ProjectA","",""
"Demonstrates logging in loops with data processing","38","Logging Example - Data Processing Loop","Tests","Wed Dec 03 17:21:29 UTC 2025","passed","Wed Dec 03 17:21:29 UTC 2025","Logging Example","ProjectA","",""
"Demonstrates logging throughout a browser test","747","Logging Example - Browser Test With Logging","Tests","Wed Dec 03 17:21:28 UTC 2025","passed","Wed Dec 03 17:21:29 UTC 2025","Logging Example","ProjectA","",""
"","1902","High Example (Project A)","Tests","Wed Dec 03 17:21:32 UTC 2025","failed","Wed Dec 03 17:21:34 UTC 2025","highExample","ProjectA","",""
"","4061","Open Page in new Tab","Tests","Wed Dec 03 17:21:35 UTC 2025","failed","Wed Dec 03 17:21:39 UTC 2025","Home","ProjectHUK","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","12","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Wed Dec 03 17:21:30 UTC 2025","skipped","Wed Dec 03 17:21:30 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates logging in error scenarios","11","Logging Example - Error Handling","Tests","Wed Dec 03 17:21:29 UTC 2025","passed","Wed Dec 03 17:21:29 UTC 2025","Logging Example","ProjectA","",""
