"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Demonstrates logging in loops with data processing","105","Logging Example - Data Processing Loop","Tests","Fri Dec 19 12:30:39 UTC 2025","passed","Fri Dec 19 12:30:39 UTC 2025","Logging Example","ProjectA","",""
"","281","Wrapper Click Demo (Project A)","Tests","Fri Dec 19 12:30:36 UTC 2025","passed","Fri Dec 19 12:30:36 UTC 2025","Example","ProjectA","",""
"","5994","HUK Autowelt Demo Flow","Tests","Fri Dec 19 12:30:44 UTC 2025","passed","Fri Dec 19 12:30:50 UTC 2025","Autowelt","ProjectHUK","",""
"Demonstrates logging with variables and expressions","22","Logging Example - Variable Logging","Tests","Fri Dec 19 12:30:39 UTC 2025","passed","Fri Dec 19 12:30:39 UTC 2025","Logging Example","ProjectA","",""
"","278","Localized","Tests","Fri Dec 19 12:30:36 UTC 2025","passed","Fri Dec 19 12:30:37 UTC 2025","Data Driven Example","Data Driven","",""
"Demonstrates logging in error scenarios","27","Logging Example - Error Handling","Tests","Fri Dec 19 12:30:39 UTC 2025","passed","Fri Dec 19 12:30:39 UTC 2025","Logging Example","ProjectA","",""
"Recommended pattern: call Playwright through Browser keywords.
""Evaluate JavaScript"" maps to Playwright's page.evaluate
or locator.evaluate — but we stay inside the SAME session.","251","Playwright Via Browser - Evaluate JS (Same Session)","Tests","Fri Dec 19 12:30:39 UTC 2025","passed","Fri Dec 19 12:30:40 UTC 2025","PlaywrightExample","ProjectA","",""
"Optional, contrast example: calls Playwright Python directly.
This OPENS ITS OWN Playwright browser and does NOT share
state with the Browser library. Use only for gaps.","4","Playwright Direct Example - H1 Text And PDF (Chromium)","Tests","Fri Dec 19 12:30:40 UTC 2025","skipped","Fri Dec 19 12:30:40 UTC 2025","PlaywrightExample","ProjectA","",""
"Demonstrates all available log levels","62","Logging Example - All Log Levels","Tests","Fri Dec 19 12:30:38 UTC 2025","passed","Fri Dec 19 12:30:38 UTC 2025","Logging Example","ProjectA","",""
"","1615","Default","Tests","Fri Dec 19 12:30:35 UTC 2025","passed","Fri Dec 19 12:30:36 UTC 2025","Data Driven Example","Data Driven","",""
"","238","High Example (Project A)","Tests","Fri Dec 19 12:30:42 UTC 2025","passed","Fri Dec 19 12:30:42 UTC 2025","highExample","ProjectA","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords (Keys.* + Answer Question).","8335","HUK Autowelt LowKeys Demo","Tests","Fri Dec 19 12:30:41 UTC 2025","passed","Fri Dec 19 12:30:50 UTC 2025","AutoWelt LowKeys","ProjectHUK","",""
"Gleicher fachlicher Flow wie der High-Level-Demo-Test, aber nur mit Low-Level-Keywords.
Die Keywords kommen direct von Browser Library. No wrapping Action-Keywords.","5551","HUK Autowelt LowKeys Demo","Tests","Fri Dec 19 12:30:51 UTC 2025","passed","Fri Dec 19 12:30:56 UTC 2025","HUK noRouting","ProjectHUK","",""
"Demonstrates logging throughout a browser test","429","Logging Example - Browser Test With Logging","Tests","Fri Dec 19 12:30:39 UTC 2025","passed","Fri Dec 19 12:30:39 UTC 2025","Logging Example","ProjectA","",""
"","346","Uppercase","Tests","Fri Dec 19 12:30:37 UTC 2025","passed","Fri Dec 19 12:30:37 UTC 2025","Data Driven Example","Data Driven","",""
